polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
LC_PICKING,CARRIER_REPORT,ENABLED,1,,,,,,,,,les_data,GBRPY01
LC_PICKING,RS_CUSTOMER_REPORT,ENABLED,1,,,,,,,,,les_data,GBRPY01
LC_PICKING,WICKES_CUSTOMER_REPORT,ENABLED,1,,,,,,,,,,GBRPY01
LC_PICKING,SCREWFIX_CUSTOMER_REPORT,ENABLED,1,,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,APPLICATION_ID,1,,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,CULTURE,1,,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,USER,1,,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,PASSWORD,1,,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,URL,1,,,,,,,,,,GBRPY01
LC_PICKING,SAINSBURY_CUSTOMER_REPORT,ENABLED,1,,,,,,,,,,GBWEL01
