polcod,polvar,polval,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam,wh_id_tmpl
LC_PCIP,CONFIG,APPLICATION_ID,1,KN SwiftLog,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,CULTURE,1,en-US,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,USER,1,kncl01,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,PASSWORD,1,kncl01,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,URL,1,,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,GOODS_CONTENT,1,Stuff,,,,,,,,,GBRPY01
LC_PCIP,CONFIG,OUTPUT_QUEUE,1,Printer1,,,,,,,,,GBRPY01
LC_PCIP,ERROR_EMAIL_ALERTS,EMAIL_ID,1,,,,,,,,,,GBRPY01
LC_PCIP,LABEL_REQUEST,ENABLED,1,C,,,,,,,,,GBRPY01
LC_PCIP,PCIP_SYSTEM,ENABLED,1,,,1,,,,,,,GBRPY01

