wh_id,traknm,mfsmsn
GBWEL01,972951534004,MSN0000001
GBWEL01,972951534015,MSN0000002
GBWEL01,972951534026,MSN0000003
GBWEL01,972951534030,MSN0000004
GBWEL01,972951534041,MSN0000005
GBWEL01,972951534052,MSN0000006
GBWEL01,972951534063,MSN0000007
GBWEL01,972951534074,MSN0000008
GBWEL01,972951534085,MSN0000009
GBWEL01,972951534096,MSN0000010
GBWEL01,972951534100,MSN0000011
GBWEL01,972951534111,MSN0000012
GBWEL01,972951534122,MSN0000013
GBWEL01,972951534133,MSN0000014
GBWEL01,972951534144,MSN0000015
GBWEL01,972951534155,MSN0000016
GBWEL01,972951534166,MSN0000017
GBWEL01,972951534170,MSN0000018
GBWEL01,972951534181,MSN0000019
GBWEL01,972951534192,MSN0000020
GBWEL01,972951534203,MSN0000021
GBWEL01,972951534214,MSN0000022
GBWEL01,972951534225,MSN0000023
GBWEL01,972951534236,MSN0000024
GBWEL01,972951534240,MSN0000025
GBWEL01,972951534251,MSN0000026
GBWEL01,972951534262,MSN0000027
GBWEL01,972951534273,MSN0000028
GBWEL01,972951534284,MSN0000029
GBWEL01,972951534295,MSN0000030
GBWEL01,972951534306,MSN0000031
GBWEL01,972951534310,MSN0000032
GBWEL01,972951534321,MSN0000033
GBWEL01,972951534332,MSN0000034
GBWEL01,972951534343,MSN0000035
GBWEL01,972951534354,MSN0000036
GBWEL01,972951534365,MSN0000037
GBWEL01,972951534376,MSN0000038
GBWEL01,972951534380,MSN0000039
GBWEL01,972951534391,MSN0000040
GBWEL01,972951534402,MSN0000041
GBWEL01,972951534413,MSN0000042
GBWEL01,972951534424,MSN0000043
GBWEL01,972951534435,MSN0000044
GBWEL01,972951534446,MSN0000045
GBWEL01,972951534450,MSN0000046
GBWEL01,972951534461,MSN0000047
GBWEL01,972951534472,MSN0000048
GBWEL01,972951534483,MSN0000049
GBWEL01,972951534494,MSN0000050
GBWEL01,972951534505,MSN0000051
GBWEL01,972951534516,MSN0000052
GBWEL01,972951534520,MSN0000053
GBWEL01,972951534531,MSN0000054
GBWEL01,972951534542,MSN0000055
GBWEL01,972951534553,MSN0000056
GBWEL01,972951534564,MSN0000057
GBWEL01,972951534575,MSN0000058
GBWEL01,972951534586,MSN0000059
GBWEL01,972951534590,MSN0000060
GBWEL01,972951534601,MSN0000061
GBWEL01,972951534612,MSN0000062
GBWEL01,972951534623,MSN0000063
GBWEL01,972951534634,MSN0000064
GBWEL01,972951534645,MSN0000065
GBWEL01,972951534656,MSN0000066
GBWEL01,972951534660,MSN0000067
GBWEL01,972951534671,MSN0000068
GBWEL01,972951534682,MSN0000069
GBWEL01,972951534693,MSN0000070
GBWEL01,972951534704,MSN0000071
GBWEL01,972951534715,MSN0000072
GBWEL01,972951534726,MSN0000073
GBWEL01,972951534730,MSN0000074
GBWEL01,972951534741,MSN0000075
GBWEL01,972951534752,MSN0000076
GBWEL01,972951534763,MSN0000077
GBWEL01,972951534774,MSN0000078
GBWEL01,972951534785,MSN0000079
GBWEL01,972951534796,MSN0000080
GBWEL01,972951534800,MSN0000081
GBWEL01,972951534811,MSN0000082
GBWEL01,972951534822,MSN0000083
GBWEL01,972951534833,MSN0000084
GBWEL01,972951534844,MSN0000085
GBWEL01,972951534855,MSN0000086
GBWEL01,972951534866,MSN0000087
GBWEL01,972951534870,MSN0000088
GBWEL01,972951534881,MSN0000089
GBWEL01,972951534892,MSN0000090
GBWEL01,972951534903,MSN0000091
GBWEL01,972951534914,MSN0000092
GBWEL01,972951534925,MSN0000093
GBWEL01,972951534936,MSN0000094
GBWEL01,972951534940,MSN0000095
GBWEL01,972951534951,MSN0000096
GBWEL01,972951534962,MSN0000097
